FID,ID,SITE_NAME,DATE, pH continuous 0475 (pH units),Conductivity 25C continuous 0473 (uS/cm),Oxygen,Temperature,Battery (vol)
29033,S1,Swale at Catterick Bridge,05/07/1995 09:00,8.45,424,95.2,14.4,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 09:30,8.45,424,95.5,14.4,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 10:00,8.48,424,99.6,14.6,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 10:30,8.52,424,103.3,14.7,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 11:00,8.57,423,106.3,14.9,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 11:30,8.62,422,110.5,15.2,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 12:00,8.65,422,112.4,15.4,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 12:30,8.67,422,113.5,15.6,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 13:00,8.71,422,116.2,15.8,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 13:30,8.72,423,119.3,15.9,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 14:00,8.73,425,116.6,16,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 14:30,8.75,426,117.7,16,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 15:00,8.75,426,114.8,16.1,12.7
29033,S1,Swale at Catterick Bridge,05/07/1995 15:30,8.76,426,113.7,16.1,12.7
29033,S1,Swale at Catterick Bridge,05/07/1995 16:00,8.76,425,114.7,16.1,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 16:30,8.77,425,112.5,16.1,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 17:00,8.77,423,111.5,16,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 17:30,8.77,421,109,16,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 18:00,8.78,419,107.6,15.9,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 18:30,8.77,419,105,15.9,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 19:00,8.75,418,103,15.8,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 19:30,8.73,418,100,15.8,12.8
29033,S1,Swale at Catterick Bridge,05/07/1995 20:00,8.7,418,97,15.7,12.8
